Toronto,18,17,73,10000,6.17,1008,13/05/24,13:50:30
Vancouver,15,14,76,10000,3.09,1017,13/05/24,13:50:30
Montreal,19,18,52,10000,8.75,1012,13/05/24,13:50:30
Ottawa,17,16,63,10000,4.12,1012,13/05/24,13:50:30
Victoria,24,24,84,10000,5.81,1012,13/05/24,13:50:30
Los Angeles,17,17,83,10000,3.09,1015,13/05/24,13:50:30
Miami,31,38,73,10000,6.69,1015,13/05/24,13:50:30
Sydney,13,12,92,10000,3.6,1022,13/05/24,13:50:30
Houston,30,37,75,8047,2.06,1004,13/05/24,13:50:30
Washington,20,19,33,10000,3.82,1010,13/05/24,13:50:30
London,17,17,71,10000,4.12,1004,13/05/24,13:50:30
Hong Kong,24,24,84,10000,5.81,1012,13/05/24,13:50:30
Singapore,26,26,85,10000,1.54,1009,13/05/24,13:50:30
Tokyo,15,14,81,10000,4.63,1012,13/05/24,13:50:30
